"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Seguidores no Instagram",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição","CPM (custo por 1.000 impressões) (BRL)",Frequência,"CTR (taxa de cliques no link)","Cliques no link","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-07-03,2026-07-09,"❌ [TFG] [CONTA SUSPENSA - JUNIOR] R$ 20,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [CONTA SUSPENSA - ARTE] R$ 10,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [SIGAM A NOVA CONTA - VEM COM DICAS] R$ 10,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [ALCANCE] [LOCALIZAÇÃO - OLHO DGUA CAZUZINHOS] R$ 6,00",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [CONTA OFICIAL DE VOLTA] R$ 20,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"🥩 [ALCANCE] [QUINTA CARNE BLACK - DIA 27] R$ 20,00",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALCANCE] [LIVE BLACK - DIA 27] R$ 36,00",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALCANCE] [BLACK - NASÁRIO - DIA 28] R$ 36,00",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"Post do Instagram: 🚐🥚 ATENÇÃO, MINHA SENHORA DONA...",inactive,0,,,,20,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALCANCE] [BLACK - JULIANA - DIA 28] R$ 20",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
